Date,City,Venue,Bands,Notes
2004-04-17,"Poughkeepsie, NY",Club Crannel,"Armor For Sleep, Don't Look Down",

2004-04-18,"Aliquippa, PA",The Rock Spot,"Copeland, Planes Mistaken For Stars",

2004-04-19,"Baltimore, MD",Ottobar,"Copeland, Armor For Sleep, Fear Before The March of Flames",

2004-04-20,"Worcester, MA",Clark University,Armor For Sleep,

2004-04-21,"Farmingdale, NY",The Downtown,"A Static Lullaby, The Bled, Classic Case, Paris TX",

2004-04-22,"Buffalo, NY",Xtreme Wheels,"A Static Lullaby, The Bled, Classic Case, Paris TX",

2004-04-23,"Detroit, MI",Saint Andrew's Hall,"A Static Lullaby, The Bled, Classic Case, Paris TX",

2004-04-24,"Chicago, IL",Bottom Lounge,"A Static Lullaby, The Bled, Classic Case, Paris TX",

2004-04-25,"Cleveland, OH",Agora Ballroom,"A Static Lullaby, The Bled, Classic Case, Paris TX",

2004-04-27,"Philadelphia, PA",Trocadero Theatre,"A Static Lullaby, The Bled, Classic Case, Paris TX",

2004-05-12,"Grand Rapids, MI",The Intersection,"Alexisonfire, Emery, The Higher",

2004-05-13,"Rockford, IL",The Pit Skate Park,"Alexisonfire, Emery, The Higher",

2004-05-14,"Minneapolis, MN",The Ascot Room,"Alexisonfire, Emery, The Higher",

2004-05-15,"Milwaukee, WI",Mad Planet,"Alexisonfire, Emery, The Higher",

2004-05-16,"Iowa City, IA",Gabe's Oasis,"Alexisonfire, Emery, The Higher",

2004-05-17,"St. Louis, MO",Creepy Crawl,"Alexisonfire, Emery, The Higher",

2004-05-18,"Kansas City, MO",Spitfire,"Alexisonfire, Emery, The Higher",

2004-05-19,"Denver, CO",Rock Island,"Alexisonfire, Emery, The Higher",

2004-05-20,"Salt Lake City, UT",Kilby Court,"Alexisonfire, Emery, The Higher",

2004-05-21,"Boise, ID",The Venue,"Alexisonfire, Emery, The Higher",

2004-05-22,"Portland, OR",The Paris Theatre,"Alexisonfire, Emery, The Higher",

2004-05-23,"Seattle, WA",Graceland,"Alexisonfire, Emery, The Higher, Aiden",

2004-05-25,"Sacramento, CA",The Boardwalk,"Alexisonfire, Emery, Hawthorne Heights",

2004-05-26,"Fresno, CA",Jon Jon's,"Alexisonfire, Emery, Hawthorne Heights",

2004-05-27,"Los Angeles, CA",The Roxy,"Alexisonfire, Emery, Hawthorne Heights",

2004-05-28,"Las Vegas, NV",Huntridge Theatre,"Alexisonfire, Emery, The Higher, Name Taken",

2004-05-29,"Anaheim, CA",Chain Reaction,"Alexisonfire, Emery, Hawthorne Heights",

2004-05-30,"San Diego, CA",Epicenter,"Alexisonfire, Emery, Hawthorne Heights",

2004-05-31,"Phoenix, AZ",Modified Arts,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-01,"Tucson, AZ",Skrappy's,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-03,"Austin, TX",Emo's,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-04,"Dallas, TX",Gypsy Tea Room,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-05,"San Antonio, TX",The Sanctuary,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-06,"Houston, TX",Mary Jane's,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-07,"Little Rock, AR",Vino's,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-09,"Nashville, TN",The End,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-10,"Atlanta, GA",The Masquerade,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-11,"Ft. Lauderdale, FL",The Factory,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-12,"Orlando, FL",Will's Pub,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-13,"Tampa, FL",The Orpheum,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-15,"West Columbia, SC",New Brooklyn Tavern,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-16,"Greenboro, NC",Ace's Basement,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-17,"Norfolk, VA",Relative Theory Records,"Alexisonfire, Emery, Hawthorne Heights",

2004-06-18,"Wilmington, DE",The Harmony Grange,"Emery, Hawthorne Heights",

2004-06-19,"Danbury, CT",Empress Ballroom,"Emery, Hawthorne Heights, Silent Drive",

2004-06-20,"Stroudsburg, PA",The Sanctuary,"Emery, Hawthorne Heights, Brazil",

2004-06-22,"Chicago, IL",Bottom Lounge,"Emery, Hawthorne Heights, Brazil",

2004-06-23,"Detroit, MI",The Shelter,"Emery, Hawthorne Heights, Brazil",

2004-06-24,"Cleveland, OH",The Rhythm Room,"Emery, Hawthorne Heights, Brazil",

2004-06-25,"Toledo, OH",Headliner's,"Emery, Hawthorne Heights, Brazil",

2004-06-26,"Indianapolis, IN",Ultraviot Arena,"Emery, Hawthorne Heights, Brazil",

2004-06-27,"Huntington, WV",Huntington Youth Center,"Emery, Hawthorne Heights",

2004-06-28,"Pittsburgh, PA",Mr. Small's,"Emery, Hawthorne Heights",

2004-06-29,"Lancaster, PA",Chameleon Club,"Emery, Hawthorne Heights",

2004-06-30,"Allston, MA",ICC Church,Hawthorne Heights,

2004-07-11,"St. Catharines, ON",Big Bucks,"Alexisonfire, A Day and a Deathwish, In These Walls, Jude the Obscure, Policies and Procedures, Blue Skies At War + more",S.C.E.N.E. Fest

2004-07-22,"Burlington, ON",Moe's Tavern,"The Turn It Ups, Keep It Up, Beaumont",

2004-07-25,"Minneapolis, MN",The Metrodome,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, Avenged Sevenfold, From Autumn To Ashes, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Uproar Stage

2004-07-26,"Bonner Springs, KS",Verizon Wireless Amphitheatre,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, Avenged Sevenfold, From Autumn To Ashes, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Uproar Stage

2004-07-27,"Louisville, KY",Belvedere Pavillion,"Flogging Molly, My Chemical Romance, Yellowcard, Simple Plan, Sugarcult, Lost Prophets, From Autumn to Ashes, Lennon, Authority Zero, Bleed the Dream, Matchbook Romance, Senses Fail, Emanuel, Halifax, Over It, Rufio, Allister, Midtown",Warped Jr.

2004-07-28,"Altanta, GA",HiFi Buys Amphitheatre,"Bad Religion, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, From Autumn To Ashes, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Uproar Stage

2004-07-29,"Orlando, FL",Central Florida Fairgrounds,"Bad Religion, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, From Autumn To Ashes, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Uproar Stage

2004-07-30,"St. Petersburg, FL",Vinoy Park,"Bad Religion, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, From Autumn To Ashes, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Uproar Stage

2004-07-31,"Ft. Lauderdale, FL",Pompano Beach Amphitheatre,"Bad Religion, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, From Autumn To Ashes, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Uproar Stage

2004-08-01,"Jacksonville, FL",Jacksonville Fairgrounds,"Bad Religion, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, From Autumn To Ashes, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Uproar Stage

2004-08-02,"Charlotte, NC",Verizon Wireless Amphitheatre,"Bad Religion, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, From Autumn To Ashes, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Kevin Says Stage

2004-08-03,"Virginia Beach, VA",Verizon Wireless Amphitheatre,"Bad Religion, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Ernie Ball Stage

2004-08-04,"Bristow, VA",Nissan Pavillion,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Volcom Stage

2004-08-05,"Pittsburgh, PA",Post Gazette Pavillion,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Kevin Says Stage

2004-08-06,"Camden, NJ",Tweeter Centrer,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, Thursday, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Maurice Stage

2004-08-07,"New York, NY",Randall's Island,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, Thursday, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Kevin Says Stage

2004-08-08,"Englishtown, NJ",Raceway Park,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, Thursday, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Motion City Soundtrack, Underoath + more",Vans Warped Tour - Kevin Says Stage

2004-08-09,"Baltimore, MD",Ottobar,"Underoath, Brazil",

2004-08-10,"Hershey, PA",Hershey Park Pavillion,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, Thursday, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Fall Out Boy, Underoath + more",Vans Warped Tour - SmartPunk Stage

2004-08-11,"Burlington, VT",Nectars,"Underoath, Brazil",

2004-08-12,"Quebec, QC",Colisee Pepsi,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, Thursday, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Fall Out Boy, Underoath + more",Vans Warped Tour - SmartPunk Stage

2004-08-13,"Montreal, QC",Parc Jean Drapeau,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, Thursday, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Fall Out Boy, Underoath + more",Vans Warped Tour - SmartPunk Stage

2004-08-14,"Barrie, ON",Molson Park,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, Thursday, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Fall Out Boy, Underoath + more",Vans Warped Tour - SmartPunk Stage

2004-08-15,"Detroit, MI",Pontiac Silverdome,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Fall Out Boy, Underoath + more",Vans Warped Tour - SmartPunk Stage

2004-08-16,"Cincinnati, OH",Riverbend Music Center,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Fall Out Boy, Underoath + more",Vans Warped Tour - SmartPunk Stage

2004-08-17,"Columbus, OH",Germain Amphitheatre,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Fall Out Boy, Underoath + more",Vans Warped Tour - SmartPunk Stage

2004-08-18,"Buffalo, NY",Darien Lake,"Bad Religion, NOFX, Taking Back Sunday, New Found Glory, The (International) Noise Conspiracy, Avenged Sevenfold, Rise Against, Senses Fail, Fall Out Boy, Underoath + more",Vans Warped Tour - SmartPunk Stage

2004-09-09,"Guelph, ON",University of Guelph,Moneen,

2004-09-18,"Worcester, MA",The Palladium,"Steve-O, Bayside, Hawthorne Heights, Boys Night Out, Spitalfield, Minus The Bear + more",Skate Fest

2004-09-19,"Reading, PA",The Silo,The Commercials,

2004-09-20,"Cleveland, OH",Grog Shop,"Senses Fail, The Bled, A Thorn For Every Heart",

2004-09-21,"Pittsburgh, PA",The World,"Senses Fail, The Bled, A Thorn For Every Heart",

2004-09-22,"Cincinnati, OH",Bogart’s,"Senses Fail, The Bled, Emanuel",

2004-09-23,"Detroit, MI",Saint Andrew's Hall,"Senses Fail, The Bled, Emanuel",

2004-09-24,"Chicago, IL",Metro,"Senses Fail, The Bled, Emanuel",

2004-09-25,"Minneapolis, MN",Quest,"Senses Fail, The Bled, Emanuel",

2004-09-26,"Kansas City, MO",Beaumont Club,"Senses Fail, The Bled, Emanuel,Anti Flag, Midtown, Strike Anywhere, The AKA's",

2004-09-28,"Denver, CO",Cervantes,"Senses Fail, The Bled, Emanuel",

2004-09-29,"Salt Lake City, UT",LoFi Cafe,"Senses Fail, The Bled, Emanuel",

2004-10-01,"Seattle, WA",Neumo's,"Senses Fail, The Bled, Emanuel",

2004-10-02,"Portland, OR",Meow Meow,"Senses Fail, The Bled, Emanuel",

2004-10-03,"San Francisco, CA",Slim's,"Senses Fail, The Bled, Emanuel",

2004-10-05,"Los Angeles, CA",Troubadour,"Senses Fail, The Bled, Van Stone",

2004-10-06,"Pomona, CA",Glasshouse,"Senses Fail, The Bled, Van Stone",

2004-10-07,"San Diego, CA",Epicenter,"Senses Fail, The Bled, Van Stone",

2004-10-08,"Las Vegas, NV",Jillian's,"Senses Fail, The Bled, Van Stone",

2004-10-09,"Tempe, AZ",Marquee Theatre,"Senses Fail, The Bled, Madison",

2004-10-11,"Fort Worth, TX",Ridglea Theatre,"Senses Fail, The Bled, Madison",

2004-10-12,"Austin, TX",Emo's,"Senses Fail, The Bled, Madison",

2004-10-13,"Houston, TX",Engine Room,"Senses Fail, The Bled, Madison",

2004-10-14,"New York, NY",CBGB's,"Norma Jean, Bury Your Dead, Dead To Fall",Victory Records / Solid State CMJ Showcase

2004-10-15,"Orlando, FL",House of Blues,"Senses Fail, Name Taken, Madison",

2004-10-16,"Lake Park, FL",Kelsey Club,"Senses Fail, Name Taken, Madison",

2004-10-17,"St. Petersburg, FL",Jannus Landing,"Senses Fail, Name Taken, Madison",

2004-10-18,"Tallahassee, FL",Big Daddy's,Name Taken,

2004-10-19,"Atlanta, GA",The Masquerade,"Senses Fail, Name Taken, Madison",

2004-10-20,"Carrboro, NC",Cat's Cradle,"Senses Fail, Name Taken, Madison",

2004-10-21,"Norfolk, VA",The Norva,"Senses Fail, Name Taken, Madison",

2004-10-22,"College Park, MD",Saint Andrew's Episcopal,"Senses Fail, Name Taken, Madison",

2004-10-23,"Philadelphia, PA",Theatre of Living Arts,"Senses Fail, Name Taken, Madison",

2004-10-24,"Worcester, MA",The Palladium,"Senses Fail, Name Taken, Madison",

2004-10-25,"Syracuse, NY",University of Syracuse,Name Taken,

2004-10-26,"Poughkeepsie, NY",The Chance,"Senses Fail, Moneen, Name Taken",

2004-10-27,"Lancaster, PA",Chameleon Club,"Senses Fail, Moneen, Name Taken",

2004-10-28,"Farmingdale, NY",The Downtown,"Senses Fail, Moneen, Name Taken",

2004-10-29,"Elizabeth, NJ",Rexplex,"Anterrabae, Bedlight For Blue Eyes",

2004-11-12,"Gatineau, QC",Toniuebeck Bar,,

2004-11-15,"Montreal, QC",El Salon,"Hot Water Music, Planes Mistaken For Stars, Moments In Grace",

2004-11-16,"Toronto, ON",The Opera House,"Hot Water Music, Planes Mistaken For Stars, Moments In Grace",

2004-11-17,"Detroit, MI",Saint Andrew's Hall,"Hot Water Music, Planes Mistaken For Stars, Moments In Grace",

2004-11-19,"Minneapolis, MN",Triple Rock Social Club,"Hot Water Music, Planes Mistaken For Stars, Moments In Grace",

2004-11-20,"Chicago, IL",Metro,"Hot Water Music, Planes Mistaken For Stars, Moments In Grace",

2004-11-21,"Indianapolis, IN",Emerson Theatre,"Hot Water Music, Planes Mistaken For Stars, Moments In Grace",

2004-12-17,"Burlington, ON",YMCA,"Cursed, The Fullblast, The Turn It Ups, Navy",

2005-01-07,"St. Catharines, ON",Red Square,"Keep It Up, Ceremonial Snips, Vena Cava, A Minute 'til Midnight",

2005-01-08,"London, ON",The Embassy,"The End, Blue Skies at War + more",Agression Fest

2005-01-15,"Farmingdale, NY",The Downtown,Underoath,Private Matinee Birthday Show

2005-01-15,"Farmingdale, NY",The Downtown,"Underoath, The Chariot, Cleanser",

2005-01-16,"Sayerville, NJ",Starland Ballroom,"Underoath, The Starting Line, From Autumn To Ashes, The Early November, The Loved Ones, Catch 22, Midtown, Mewithoutyou + more",Tsunami Relief Bennefit

2005-01-16,"Farmingdale, NY",The Downtown,"Underoath, The Chariot",

2005-01-19,"Cardiff, Wales",Barfly,"Underoath, The Hurt Process, Roses Are Red",

2005-01-20,"Exeter, England",Cavern,"Underoath, The Hurt Process, Roses Are Red",

2005-01-21,"Bristol, England",Fleece,"Underoath, The Hurt Process, Roses Are Red",

2005-01-22,"Kingston, England",The Peel,"Underoath, The Hurt Process, Roses Are Red",

2005-01-23,"Stoke, England",Sugar Mill,"Underoath, The Hurt Process, Roses Are Red",

2005-01-24,"Derby, England",Victoria Inn,"Underoath, The Hurt Process, Roses Are Red",

2005-01-25,"Manchester, England",Night & Day,"Underoath, The Hurt Process, Roses Are Red",

2005-01-26,"Aberdeen, Scotland",Kef,"Underoath, The Hurt Process, Roses Are Red",

2005-01-27,"Glasgow, Scotland",Barfly,"Underoath, The Hurt Process, Roses Are Red",

2005-01-28,"Newcastle, England",Cluney,"Underoath, The Hurt Process, Roses Are Red",

2005-01-29,"Leeds, England",Cockpit,"Underoath, The Hurt Process, Roses Are Red",

2005-01-30,"Oxford, England",Zodiac,"Underoath, The Hurt Process, Roses Are Red",

2005-01-31,"Birmingham, England",Academy 2,"Underoath, The Hurt Process, Roses Are Red",

2005-02-01,"Nottingham, England",Rock City,"Underoath, The Hurt Process, Roses Are Red",

2005-02-02,"London, England",Garage,"Underoath, The Hurt Process, Roses Are Red",

2005-02-11,"Hamilton, ON",The Underground,"The Reason, The Junction, Sleeper Set Sail, Endo Four",

2005-03-13,"Anaheim, CA",Chain Reaction,"Halifax, Mikoto, Chronic Future",

2005-04-12,"Norfolk, VA",The Norva,"Fall Out Boy, The Academy Is, Gym Class Heroes",

2005-04-13,"Charlotte, NC",Tremont Music Hall,"Fall Out Boy, The Academy Is, Gym Class Heroes",

2005-04-14,"Jacksonville, FL",Freebird Cafe,"Fall Out Boy, The Academy Is, Gym Class Heroes",

2005-04-15,"Ft. Lauderdale, FL",The Factory,"Fall Out Boy, The Academy Is, Gym Class Heroes, Paramore",

2005-04-16,"Orlando, FL",House of Blues,"Fall Out Boy, The Academy Is, Gym Class Heroes, Paramore",

2005-04-17,"Atlanta, GA",The Masquerade,"Fall Out Boy, The Academy Is, Gym Class Heroes",

2005-04-19,"Nashville, TN",Rocketown,"Fall Out Boy, The Academy Is, Gym Class Heroes",

2005-04-20,"Cincinnati, OH",Bogart’s,"Fall Out Boy, The Academy Is, Gym Class Heroes",

2005-04-21,"Reading, PA",The Silo,"Fall Out Boy, The Academy Is, Gym Class Heroes",

2005-04-22,"Hartford, CT",Webster Theatre,"Fall Out Boy, The Academy Is, Gym Class Heroes",

2005-04-23,"Lewisburg, PA",Uptown Nightclub,"Fall Out Boy, The Academy Is, Gym Class Heroes",

2005-04-24,"Boston, MA",Avalon,"Fall Out Boy, The Academy Is, Gym Class Heroes",

2005-04-26,"Toronto, ON",The Phoenix,Fall Out Boy,

2005-04-27,"Montreal, QC",La Tulipe,"Fall Out Boy, The Fullblast",

2005-04-28,"Clifton Park, NY",Northern Lights,"Fall Out Boy, The Academy Is, Gym Class Heroes",

2005-04-29,"Washington, DC",9:30 Club,"Fall Out Boy, The Academy Is, Gym Class Heroes",

2005-04-30,"Asbury Park, NJ",Asbury Park Convention Hall,"Fall Out Boy, The Starting Line, Further Seems Forever, Say Anything, Senses Fail, Midtown, Paramore, Moneen, Lucero, The New Amsterdams, Hot Rod Circuit, Piebald, The Bled, Crime In Stereo + more",Bamboozle Festival

2005-05-01,"Poughkeepsie, NY",The Chance,"Fall Out Boy, The Academy Is, Gym Class Heroes, The AKA's",

2005-05-07,"Burlington, ON",Central Park,Dead And Divine,Youth Fest

2005-05-10,"Cardiff, Wales",Barfly,"Aiden, The Black Maria",

2005-05-11,"Kingston, England",The Peel,"Aiden, The Black Maria",

2005-05-12,"Nottingham, England",Rock City,"Aiden, The Black Maria",

2005-05-13,"Liverpool, England",Academy 3,"Aiden, The Black Maria",

2005-05-14,"Leeds, England",Cockpit,"Aiden, The Black Maria",

2005-05-15,"Glasgow, Scotland",Barfly,"Aiden, The Black Maria",

2005-05-16,"Manchester, England",Roadhouse,"Aiden, The Black Maria",

2005-05-17,"Oxford, England",Zodiac,"Aiden, The Black Maria",

2005-05-18,"Yeovil, England",Flicks,"Aiden, The Black Maria",

2005-05-19,"London, England",Barfly,"Aiden, The Black Maria",

2005-05-20,"Birmingham, England",Academy 2,"Aiden, The Black Maria",
